point_of_contact,telephone_number,email,customer_since,ticker
Donnie Winters,+14801340,donnie.winters@agrify.com,2006-06-06,agfy
Masha Spires,+18830012,masha.spires@cummins.com,2021-12-13,cmi
Shandeigh Estrella,+18547681,shandeigh.estrella@altramotion.com,2022-07-15,aimc
Samara Harter,+15281200,sharter@unither.com,2017-10-07,uthr
Kelcie Cazares,+15775181,kelcie.cazares@dovercorporation.com,2014-06-29,dov
Amabelle Magee,+17003411,a.magee@acmrcsh.com,2006-11-29,acmr
Florrie Westbrook,+1864341274,f.westbrook@amciacquisition.com,2022-04-28,adn
Bel Wells,+1263465760,b.wells@fastenal.com,2020-04-29,fast
Talyah Faison,+1638640001,tfaison@organon.com,2018-10-25,ogn
Lauryn Troutman,+1516447030,ltroutman@monsterbevcorp.com,2013-12-31,mnst
Carry Messina,+11263233,cmessina@devonenergy.com,2011-10-24,dvn
Thea Wong,+10534714,thea.wong@paccar.com,2016-08-23,pcar
Leland Cecil,+1351421680,lcecil@bankpatriot.com,2018-09-29,pnbk
Amara Heard,+1068614784,aheard@hcahealthcare.com,2020-11-01,hca
Augustine Dabney,+1826722764,a.dabney@spiritaero.com,2021-03-02,spr
Valma Urena,+1327725803,valma.urena@zurnwatersolutions.com,2012-04-30,zws
Lucienne Neeley,+1786858847,lneeley@adm.com,2013-04-17,adm
Ranna Lozano,+1356005336,rlozano@howardhughes.com,2019-09-08,hhc
Philomena Enright,+11216058,p.enright@carnivalcorp.com,2017-03-10,ccl
Belle Mullis,+11085625,belle.mullis@deere.com,2017-04-09,de
Livvy Stout,+12534451,lstout@csx.com,2005-11-09,csx
Lucine Saylor,+14156306,l.saylor@enactmi.com,2006-10-24,act
Aigneis Mclaughlin,+17887658,amclaughlin@cdw.com,2018-01-02,cdw
Lucretia Salmon,+16642285,lsalmon@salesforce.com,2018-10-17,crm
Phebe Whitcomb,+1641213205,phebe.whitcomb@campbellsoupcompany.com,2020-11-27,cpb
Annabel Aguayo,+10206864,aaguayo@nvrinc.com,2017-02-28,nvr
Perla Musser,+16123002,pmusser@omnicomgroup.com,2006-03-21,omc
Yasmeen Card,+13871142,yasmeen.card@corporate.wwe.com,2006-08-04,wwe
Cymbre Worthy,+12341288,cworthy@clearone.com,2016-02-24,clro
Valaria Bahena,+15655702,vbahena@alector.com,2016-10-28,alec
Georgiana Autry,+17888333,georgiana.autry@admabiologics.com,2020-08-30,adma
Leanna Duong,+1658272385,leanna.duong@acimmune.com,2015-07-14,aciu
Sashenka Rainwater,+1011568633,srainwater@emerson.com,2018-05-13,emr
Dani Spruill,+1672130786,dspruill@airproducts.com,2012-01-28,apd
Rebekkah Trent,+1300808607,rebekkah.trent@airbnb.co.in,2012-04-02,abnb
Elysha Thames,+15801447,ethames@harpoontx.com,2007-06-04,harp
Melisandra Budd,+15365407,mbudd@lennar.com,2015-03-11,len
Jorrie Morrill,+18377267,jorrie.morrill@churchdwight.com,2005-09-21,chd
Leah Bueno,+17382276,lbueno@arteris.com,2018-10-27,aip
Maddi Battles,+18518012,m.battles@baxter.com,2006-05-19,bax
Corrine Oaks,+10357173,coaks@abcellera.com,2015-05-01,abcl
Janka Shaver,+1447882134,janka.shaver@agiletherapeutics.com,2012-02-23,agrx
Sascha Kasper,+1387613134,s.kasper@fcx.com,2023-07-12,fcx
Constancia Bolanos,+16376565,cbolanos@huntington.com,2013-12-10,hban
Adriaens Trapp,+13262747,adriaens.trapp@mtch.com,2020-12-31,mtch
Stephine Atwood,+1175482340,stephine.atwood@aclaristx.com,2017-03-13,acrs
Lelia Worley,+16542187,lworley@predictive-oncology.com,2010-02-05,poai
Karleen Islam,+1335873314,kislam@ao-inc.com,2013-03-16,aaoi
Charita Bettencourt,+10577658,cbettencourt@tenetjove.com,2017-11-17,sisi
Estele Priest,+16850675,estele.priest@xin.com,2020-03-03,uxin
Genevieve Todd,+10365141,gtodd@zendesk.com,2022-07-27,zen
Dareen Ethridge,+1446012814,d.ethridge@bio-rad.com,2007-12-26,bio
Ranique Gill,+1082564215,ranique.gill@sempra.com,2016-09-15,sre
Ofella Gonzales,+13871387,ofella.gonzales@equifax.com,2016-10-24,efx
Joli Stein,+15860407,j.stein@stanleyblackanddecker.com,2007-03-31,swk
Alexa Amin,+1362086461,alexa.amin@ajg.com,2006-10-25,ajg
Melitta Scales,+13446703,mscales@marathonpetroleum.com,2005-01-09,mpc
Nara Fischer,+1543645802,nara.fischer@coopercos.com,2007-11-13,coo
Augusta Jaquez,+1401066508,augusta.jaquez@hannonarmstrong.com,2005-02-19,hasi
Madelena Floyd,+13418841,madelena.floyd@eastman.com,2010-02-07,emn
Edyth Bussey,+10418481,ebussey@amazon.com,2021-09-24,amzn
Enriqueta Sullivan,+1214767052,enriqueta.sullivan@marriott.com,2007-08-01,mar
Jaclyn Crites,+1512373361,jaclyn.crites@yirendai.com,2016-02-22,yrd
Genevieve Hammer,+1882420143,genevieve.hammer@sherwin-williams.com,2006-01-10,shw
Olia Alfonso,+1358047005,o.alfonso@resmed.com,2013-09-24,rmd
Eunice Madrid,+12167576,eunice.madrid@averydennison.com,2008-10-01,avy
Janette Tavares,+18747730,janette.tavares@leidos.com,2005-05-09,ldos
Chelsea Custer,+18324483,chelsea.custer@abc.xyz,2020-09-13,googl
Charmine Costello,+1442163810,c.costello@abvcpharma.com,2011-07-14,abvc
Brooke Brown,+12760557,brooke.brown@servicenow.com,2020-12-10,now
Ame Liu,+1263204153,ame.liu@lilly.com,2017-01-04,lly
Kylynn Devito,+12755854,kylynn.devito@nvidia.com,2009-08-13,nvda
